Channel,Area,Length,,,,,,
1,643.53,1501.476667,,min,344.0033333,mm,,1
2,526.738,1112.17,,max,1501.476667,mm,,0
3,454.587,871.6666667,,,,,,0
4,337.558,481.57,,,,,,0
5,630.338,1457.503333,,,,,,0
6,516.624,1078.456667,,,,,,0
7,444.473,837.9533333,,,,,,0
8,330.749,458.8733333,,,,,,0
9,617.147,1413.533333,,,,,,0
10,506.51,1044.743333,,,,,,0
11,434.359,804.24,,,,,,0
12,323.94,436.1766667,,,,,,0
13,603.955,1369.56,,,,,,0
14,496.396,1011.03,,,,,,0
15,424.245,770.5266667,,,,,,0
16,317.131,413.48,,,,,,0
17,590.763,1325.586667,,,,,,0
18,486.282,977.3166667,,,,,,0
19,414.131,736.8133333,,,,,,0
20,310.322,390.7833333,,,,,,0
21,567.26,1247.243333,,,,,,0
22,467.182,913.65,,,,,,0
23,395.798,675.7033333,,,,,,0
24,297.399,347.7066667,,,,,,0
25,559.766,1222.263333,,,,,,0
26,462.854,899.2233333,,,,,,0
27,391.47,661.2766667,,,,,,0
28,296.288,344.0033333,,,,,,0
29,552.937,1199.5,,,,,,0
30,461.354,894.2233333,,,,,,0
31,391.029,659.8066667,,,,,,0
32,301.867,362.6,,,,,,0
33,553.63,1201.81,,,,,,0
34,465.345,907.5266667,,,,,,0
35,395.02,673.11,,,,,,0
36,308.943,386.1866667,,,,,,0
37,554.323,1204.12,,,,,,0
38,469.336,920.83,,,,,,0
39,399.011,686.4133333,,,,,,0
40,316.019,409.7733333,,,,,,0
41,555.016,1206.43,,,,,,0
42,473.327,934.1333333,,,,,,0
43,403.002,699.7166667,,,,,,0
44,323.094,433.3566667,,,,,,0
45,555.709,1208.74,,,,,,0
46,477.318,947.4366667,,,,,,0
47,406.993,713.02,,,,,,0
48,330.17,456.9433333,,,,,,0
49,556.402,1211.05,,,,,,0
50,481.309,960.74,,,,,,0
51,410.984,726.3233333,,,,,,0
52,337.246,480.53,,,,,,0
53,557.095,1213.36,,,,,,0
54,485.3,974.0433333,,,,,,0
55,414.975,739.6266667,,,,,,0
56,344.321,504.1133333,,,,,,0
