1,143.8157,,1,6115.357,,1,124.23,,1,1126.8019,,1,117.7287,,1,157.9531,,1,141.2084,,1,159.6701
10,89.4143,,10,4573.682,,10,204.3477,,10,1059.6992,,10,191.4325,,10,221.8288,,10,89.5006,,10,113.7101
11,86.1524,,11,4761.382,,100,1025.8792,,100,340.149,,11,197.6866,,11,223.7179,,11,86.7084,,11,116.358
12,81.1377,,12,4893.344,,101,1039.478,,101,336.0466,,12,205.3617,,12,232.7584,,12,83.6958,,12,121.0635
13,83.3277,,13,4865.488,,102,1046.9451,,102,326.6615,,13,217.2219,,13,240.1289,,13,78.8734,,13,118.23
14,82.2053,,14,5024.537,,103,1055.0767,,103,317.2042,,14,225.1773,,14,249.0455,,14,75.7362,,14,124.34
15,85.8173,,15,5396.893,,104,1062.4052,,104,307.6277,,15,231.8139,,15,247.3976,,15,76.396,,15,131.1077
16,87.647,,16,5713.772,,105,1076.004,,105,303.4708,,16,239.8713,,16,257.3608,,16,73.3833,,16,139.9173
17,96.7407,,17,5870.31,,106,1083.4711,,106,294.0883,,17,252.1141,,17,265.9029,,17,68.561,,17,141.1879
18,98.6951,,18,6192.081,,107,1091.6028,,107,284.6283,,18,260.1789,,18,275.8661,,18,70.2003,,18,150.1221
19,102.3072,,19,6567.124,,108,1098.9316,,108,274.9973,,19,267.3224,,19,278.8021,,19,77.1465,,19,156.8749
2,135.1782,,2,5792.504,,109,1112.5301,,109,270.9877,,2,124.997,,2,166.9563,,2,135.4451,,2,155.1421
20,106.5714,,20,6881.316,,11,212.8663,,11,1050.0621,,20,275.6387,,20,288.7653,,20,80.4202,,20,165.6848
21,120.3553,,21,7037.334,,110,1119.9972,,110,261.744,,21,288.2642,,21,297.3074,,21,81.8842,,21,167.2387
22,127,,22,7359.625,,111,1128.1442,,111,252.2986,,22,296.7049,,22,307.2706,,22,85.0333,,22,175.89
23,135.3023,,23,7731.981,,112,1135.4577,,112,242.9306,,23,303.8484,,23,310.2067,,23,92.9621,,23,182.6423
24,141.8222,,24,8049.958,,12,219.8075,,12,1040.7923,,24,312.1648,,24,320.1699,,24,100.6157,,24,191.4683
25,155.6061,,25,8207.58,,13,233.8081,,13,1036.5954,,25,324.7902,,25,328.7119,,25,106.4249,,25,192.7229
26,162.2508,,26,8530.463,,14,240.8737,,14,1027.4499,,26,333.368,,26,338.6752,,26,113.9192,,26,201.6571
27,170.5531,,27,8903.917,,15,249.3924,,15,1017.7713,,27,342.119,,27,341.6112,,27,125.2106,,27,208.4077
28,177.073,,28,9221.894,,16,256.3336,,16,1008.5429,,28,350.3195,,28,351.5744,,28,132.8295,,28,217.2194
29,190.8569,,29,9379.516,,17,270.5707,,17,1004.3047,,29,362.8293,,29,360.1165,,29,138.6409,,29,218.6141
3,127.9947,,3,5520.32,,18,277.3998,,18,995.2006,,3,130.838,,3,169.2845,,3,133.009,,3,148.5614
30,197.5016,,30,9702.549,,19,286.3782,,19,985.3563,,30,371.154,,30,370.0797,,30,146.1331,,30,227.4242
31,205.8039,,31,10067.675,,2,131.2954,,2,1119.2349,,31,378.1821,,31,373.0157,,31,157.4245,,31,234.1766
32,212.3238,,32,10393.83,,20,292.881,,20,980.5675,,32,386.3827,,32,382.9789,,32,165.0434,,32,242.6678
33,226.1078,,33,10551.452,,21,307.9988,,21,976.4871,,33,398.8924,,33,391.521,,33,170.8527,,33,243.6195
34,232.7524,,34,10874.335,,22,314.5303,,22,967.1281,,34,407.2171,,34,401.4845,,34,178.347,,34,252.235
35,241.0547,,35,11247.789,,23,323.1216,,23,957.5662,,35,414.2452,,35,404.7737,,35,189.6384,,35,258.6685
36,247.5746,,36,11565.78,,24,329.7547,,24,948.0833,,36,422.4458,,36,412.6578,,36,197.2573,,36,267.1836
37,261.3586,,37,11723.415,,25,343.7858,,25,944.0029,,37,434.9555,,37,419.8211,,37,203.0665,,37,268.1115
38,268.0033,,38,12046.271,,26,350.5881,,26,934.6439,,38,443.2802,,38,430.3015,,38,210.5608,,38,276.7269
39,276.3056,,39,12419.752,,27,359.2335,,27,925.082,,39,450.3083,,39,437.3209,,39,221.8522,,39,283.1605
4,119.3572,,4,5188.636,,28,366.0598,,28,915.5991,,4,138.1003,,4,178.3936,,4,126.779,,4,143.9085
40,282.8255,,40,12737.716,,29,379.9123,,29,911.5267,,40,458.5089,,40,447.5575,,40,229.4711,,40,291.6517
41,296.6094,,41,12895.351,,3,139.69,,3,1111.3419,,41,471.0187,,41,456.373,,41,235.2804,,41,292.6034
42,303.2541,,42,13218.209,,30,386.9779,,30,902.1811,,42,479.3433,,42,466.6096,,42,242.7747,,42,301.2189
43,311.5663,,43,13591.689,,31,395.4966,,31,892.8129,,5,145.7374,,5,185.6955,,43,254.0661,,43,307.6525
44,318.0866,,44,13909.653,,32,402.4378,,32,883.3721,,6,154.7956,,6,194.4878,,44,261.7247,,44,316.1436
45,331.8705,,45,14067.025,,33,416.4384,,33,879.4106,,7,162.4328,,7,196.5012,,45,267.5339,,45,317.0954
46,338.834,,46,14385.254,,34,423.504,,34,870.1691,,8,171.4911,,8,205.5417,,46,275.0283,,46,325.7108
47,347.4548,,47,14763.625,,35,432.0226,,35,860.7259,,9,183.7573,,9,212.9122,,47,286.3197,,47,332.1444
48,354.2938,,48,15081.853,,36,438.9638,,36,851.3601,,,,,,,,48,293.9386,,48,340.6356
49,368.3966,,49,14840.151,,37,452.9644,,37,847.3986,,,,,,,,49,299.7465,,49,341.5873
5,117.0121,,5,4705.27,,38,460.03,,38,838.1571,,,,,,,,5,117.1381,,5,131.8453
