50,375.36,,50,15068.485,,39,468.5487,,39,828.7138,,,,,,,,50,307.2472,,50,350.1089
51,383.9808,,51,15357.186,,4,146.7554,,4,1103.7749,,,,,,,,51,318.545,,51,356.6363
52,390.8199,,52,15813.316,,40,475.4899,,40,819.348,,,,,,,,52,326.1946,,52,365.1275
53,404.9226,,53,16220.033,,41,489.4905,,41,815.3866,,,,,,,,53,332.0038,,53,366.0793
54,411.8861,,54,16571.273,,42,496.5561,,42,806.1451,,,,,,,,54,339.5288,,54,374.6947
55,420.5069,,55,16669.094,,43,505.0747,,43,796.7018,,,,,,,,55,350.8266,,55,381.1283
56,427.3459,,56,16943.24,,44,512.0159,,44,787.336,,,,,,,,56,358.4085,,56,389.6194
57,441.4487,,57,17282.647,,45,526.0165,,45,783.3745,,,,,,,,57,364.2499,,57,390.5712
58,448.4121,,58,17722.612,,46,533.0821,,46,774.133,,,,,,,,58,371.7127,,58,399.1867
59,457.0329,,59,18057.127,,47,541.6008,,47,764.6854,,,,,,,,59,383.0041,,59,405.6202
6,107.3091,,6,4481.704,,48,548.542,,48,755.324,,,,,,,,6,109.6762,,6,127.1725
60,463.872,,60,18336.166,,49,562.5426,,49,751.3538,,,,,,,,60,390.623,,60,414.133
61,477.9747,,61,18836.499,,5,160.756,,5,1100.3599,,,,,,,,61,396.4322,,61,415.0847
62,484.938,,62,19110.646,,50,569.6082,,50,742.1101,,,,,,,,62,403.9266,,62,423.7002
63,493.559,,63,19450.053,,51,578.1268,,51,732.6646,,,,,,,,63,415.218,,63,430.1337
64,500.398,,64,19890.018,,52,585.068,,52,723.2966,,,,,,,,64,422.8853,,64,434.9451
65,514.5007,,65,20224.533,,53,599.0686,,53,719.333,,,,,,,,65,428.6461,,65,436.5163
66,521.4641,,66,20503.571,,54,606.1342,,54,710.0893,,,,,,,,66,436.1405,,66,445.4155
67,530.085,,67,21003.905,,55,614.6529,,55,700.6439,,,,,,,,67,447.4318,,67,452.5236
68,536.9241,,68,21278.051,,56,621.5941,,56,691.2758,,,,,,,,68,455.0508,,68,460.3164
69,551.0268,,69,21617.458,,57,635.5947,,57,687.3122,,,,,,,,69,460.86,,69,463.4676
7,99.1049,,7,4398.775,,58,642.6603,,58,678.0685,,,,,,,,7,106.6032,,7,120.1964
70,557.9903,,70,22057.424,,59,651.1789,,59,668.623,,,,,,,,70,468.3543,,70,471.3669
71,566.6111,,71,22391.938,,6,167.8215,,6,1091.3289,,,,,,,,8,105.2649,,8,118.7212
72,573.4501,,72,22699.239,,60,658.1201,,60,659.2551,,,,,,,,9,96.5298,,9,109.699
73,587.5529,,73,23171.31,,61,672.1207,,61,655.2914,,,,,,,,,,,,
74,594.5163,,74,23445.457,,62,679.1863,,62,646.0477,,,,,,,,,,,,
75,603.2589,,75,23784.864,,63,687.705,,63,636.6023,,,,,,,,,,,,
8,94.6141,,8,4464.684,,64,694.6462,,64,627.2343,,,,,,,,,,,,
9,94.3339,,9,4436.566,,65,708.6468,,65,623.2706,,,,,,,,,,,,
,,,,,,66,715.7124,,66,614.0269,,,,,,,,,,,,
,,,,,,67,724.231,,67,604.5815,,,,,,,,,,,,
,,,,,,68,731.1722,,68,595.2135,,,,,,,,,,,,
,,,,,,69,745.1728,,69,591.2499,,,,,,,,,,,,
,,,,,,7,176.3403,,7,1082.0275,,,,,,,,,,,,
,,,,,,70,752.2384,,70,581.9518,,,,,,,,,,,,
,,,,,,71,760.7571,,71,572.5064,,,,,,,,,,,,
,,,,,,72,767.6983,,72,563.1384,,,,,,,,,,,,
,,,,,,73,781.6989,,73,559.1827,,,,,,,,,,,,
,,,,,,74,788.7645,,74,549.931,,,,,,,,,,,,
,,,,,,75,797.2831,,75,540.4856,,,,,,,,,,,,
,,,,,,76,804.2243,,76,531.1176,,,,,,,,,,,,
,,,,,,77,818.2249,,77,527.154,,,,,,,,,,,,
,,,,,,78,825.2904,,78,517.9102,,,,,,,,,,,,
,,,,,,79,833.8092,,79,508.4648,,,,,,,,,,,,
,,,,,,8,183.2815,,8,1072.8035,,,,,,,,,,,,
,,,,,,80,840.7504,,80,499.0968,,,,,,,,,,,,
,,,,,,81,854.751,,81,495.1332,,,,,,,,,,,,
,,,,,,82,861.8164,,82,485.8895,,,,,,,,,,,,
,,,,,,83,870.3352,,83,476.444,,,,,,,,,,,,
,,,,,,84,877.2764,,84,467.0761,,,,,,,,,,,,
,,,,,,85,891.277,,85,463.1124,,,,,,,,,,,,
,,,,,,86,898.3426,,86,453.8687,,,,,,,,,,,,
,,,,,,87,906.8613,,87,444.4232,,,,,,,,,,,,
,,,,,,88,913.9402,,88,435.0553,,,,,,,,,,,,
,,,,,,89,928.0584,,89,431.0916,,,,,,,,,,,,
,,,,,,9,197.282,,9,1068.8862,,,,,,,,,,,,
,,,,,,90,935.2419,,90,421.8299,,,,,,,,,,,,
,,,,,,91,943.8778,,91,412.4025,,,,,,,,,,,,
,,,,,,92,950.9369,,92,403.0345,,,,,,,,,,,,
,,,,,,93,965.0547,,93,399.0708,,,,,,,,,,,,
,,,,,,94,974.065,,94,389.8271,,,,,,,,,,,,
,,,,,,95,982.0247,,95,380.3817,,,,,,,,,,,,
,,,,,,96,989.3867,,96,371.0137,,,,,,,,,,,,
,,,,,,97,1002.9519,,97,368.6224,,,,,,,,,,,,
,,,,,,98,1010.419,,98,359.2945,,,,,,,,,,,,
,,,,,,99,1018.5507,,99,349.78,,,,,,,,,,,,
