Channel,Area,Length,,,,,,
1,944.75,2505.54,,min,164.3466667,mm,,1
2,818.49,2084.68,,max,2505.54,mm,,1
3,631.84,1462.49,,,,,,0
4,498.5,1018.04,,,,,,0
5,362.77,565.61,,,,,,0
6,924.83,2439.16,,,,,,1
7,801.84,2029.18,,,,,,1
8,618.36,1417.58,,,,,,0
9,485.03,973.13,,,,,,0
10,352.51,531.41,,,,,,0
11,904.92,2372.77,,,,,,1
12,785.19,1973.67,,,,,,1
13,604.89,1372.67,,,,,,0
14,471.55,928.22,,,,,,0
15,342.25,497.22,,,,,,0
16,885,2306.38,,,,,,1
17,768.54,1918.16,,,,,,1
18,591.41,1327.76,,,,,,0
19,458.08,883.31,,,,,,0
20,331.99,463.02,,,,,,0
21,865.09,2240,,,,,,1
22,751.88,1862.65,,,,,,1
23,577.94,1282.84,,,,,,0
24,444.61,838.39,,,,,,0
25,321.74,428.83,,,,,,0
26,845.17,2173.61,,,,,,1
27,735.23,1807.14,,,,,,1
28,564.47,1237.93,,,,,,0
29,431.13,793.48,,,,,,0
30,311.48,394.63,,,,,,0
31,825.26,2107.23,,,,,,1
32,718.58,1751.64,,,,,,1
33,550.99,1193.02,,,,,,0
34,417.66,748.57,,,,,,0
35,301.22,360.43,,,,,,0
36,805.34,2040.84,,,,,,1
37,701.93,1696.13,,,,,,1
38,537.52,1148.11,,,,,,0
39,404.18,703.66,,,,,,0
40,290.96,326.24,,,,,,0
41,785.43,1974.46,,,,,,1
42,685.27,1640.62,,,,,,1
43,524.05,1103.19,,,,,,0
44,390.71,658.74,,,,,,0
45,280.7,292.04,,,,,,0
46,765.51,1908.07,,,,,,1
47,668.62,1585.11,,,,,,1
48,510.57,1058.28,,,,,,0
49,377.24,613.83,,,,,,0
50,270.44,257.85,,,,,,0
51,745.59,1841.69,,,,,,1
52,651.97,1529.61,,,,,,1
53,497.1,1013.37,,,,,,0
54,363.76,568.92,,,,,,0
55,260.18,223.65,,,,,,0
56,725.68,1775.3,,,,,,1
57,635.32,1474.1,,,,,,0
58,483.62,968.46,,,,,,0
59,350.29,524,,,,,,0
60,249.93,189.46,,,,,,0
61,703.69,1701.99,,,,,,1
62,617.06,1413.23,,,,,,0
63,469,919.72,,,,,,0
64,336.13,476.8,,,,,,0
65,242.39,164.35,,,,,,0
66,694.55,1671.56,,,,,,1
67,611.48,1394.64,,,,,,0
68,466.9,912.72,,,,,,0
69,334.33,470.81,,,,,,0
70,246.41,177.76,,,,,,0
