Channel,Perimeter,Length,,,,
1,1713.22,833.91,,min,332.76,mm
2,1202.73,578.665,,max,833.91,mm
3,1711.08,832.84,,,,
4,1105.62,530.11,,,,
5,1615.68,785.14,,,,
6,1012.26,483.43,,,,
7,1524.79,739.695,,,,
8,924.37,439.485,,,,
9,1440.59,697.595,,,,
10,843.68,399.14,,,,
11,1365.17,659.885,,,,
12,776.56,365.58,,,,
13,1307.79,631.195,,,,
14,730.45,342.525,,,,
15,1274.38,614.49,,,,
16,710.92,332.76,,,,
17,1269.5,612.05,,,,
18,720.9,337.75,,,,
19,1293.97,624.285,,,,
20,758.95,356.775,,,,
21,1344.3,649.45,,,,
22,817.1,385.85,,,,
23,1407.69,681.145,,,,
24,886.3,420.45,,,,
25,1481.65,718.125,,,,
26,964.17,459.385,,,,
27,1562.74,758.67,,,,
28,1047.94,501.27,,,,
29,1646.53,800.565,,,,
30,1131.19,542.895,,,,
