Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
QS1P1,Pad,P1,GFZ,Channel:,j60,Actual,Channel:,44,Trace,Length:,470.162,Time,estimate:,2.426156474
QS1P1,Pad,P1,GFZ,Channel:,j59,Actual,Channel:,45,Trace,Length:,781.572,Time,estimate:,4.033111923
QS1P1,Pad,P1,GFZ,Channel:,j58,Actual,Channel:,46,Trace,Length:,676.217,Time,estimate:,3.489453109
QS1P1,Pad,P1,GFZ,Channel:,j57,Actual,Channel:,47,Trace,Length:,606.477,Time,estimate:,3.129576827
QS1P1,Pad,P1,GFZ,Channel:,j56,Actual,Channel:,48,Trace,Length:,504.857,Time,estimate:,2.60519157
QS1P1,Pad,P1,GFZ,Channel:,j55,Actual,Channel:,49,Trace,Length:,802.497,Time,estimate:,4.141090288
QS1P1,Pad,P1,GFZ,Channel:,j54,Actual,Channel:,50,Trace,Length:,704.267,Time,estimate:,3.634198301
QS1P1,Pad,P1,GFZ,Channel:,j53,Actual,Channel:,51,Trace,Length:,634.527,Time,estimate:,3.274322019
QS1P1,Pad,P1,GFZ,Channel:,j52,Actual,Channel:,52,Trace,Length:,539.557,Time,estimate:,2.784252468
QS1P1,Pad,P1,GFZ,Channel:,j51,Actual,Channel:,53,Trace,Length:,823.427,Time,estimate:,4.249094455
QS1P1,Pad,P1,GFZ,Channel:,j50,Actual,Channel:,54,Trace,Length:,732.317,Time,estimate:,3.778943493
QS1P1,Pad,P1,GFZ,Channel:,j49,Actual,Channel:,55,Trace,Length:,662.582,Time,estimate:,3.419093012
QS1P1,Pad,P1,GFZ,Channel:,j48,Actual,Channel:,56,Trace,Length:,574.257,Time,estimate:,2.963313365
QS1P1,Pad,P1,GFZ,Channel:,j47,Actual,Channel:,57,Trace,Length:,844.352,Time,estimate:,4.35707282
QS1P1,Pad,P1,GFZ,Channel:,j46,Actual,Channel:,58,Trace,Length:,760.367,Time,estimate:,3.923688685
QS1P1,Pad,P1,GFZ,Channel:,j45,Actual,Channel:,59,Trace,Length:,690.632,Time,estimate:,3.563838205
QS1P1,Pad,P1,GFZ,Channel:,j44,Actual,Channel:,60,Trace,Length:,608.952,Time,estimate:,3.142348461
QS1P1,Pad,P1,GFZ,Channel:,j43,Actual,Channel:,61,Trace,Length:,865.282,Time,estimate:,4.465076987
QS1P1,Pad,P1,GFZ,Channel:,j42,Actual,Channel:,62,Trace,Length:,788.422,Time,estimate:,4.068459679
QS1P1,Pad,P1,GFZ,Channel:,j41,Actual,Channel:,63,Trace,Length:,718.682,Time,estimate:,3.708583397
QS1P1,Pad,P1,GFZ,Channel:,j40,Actual,Channel:,64,Trace,Length:,643.652,Time,estimate:,3.321409359
QS1P1,Pad,P1,GFZ,Channel:,j39,Actual,Channel:,65,Trace,Length:,886.207,Time,estimate:,4.573055352
QS1P1,Pad,P1,GFZ,Channel:,j38,Actual,Channel:,66,Trace,Length:,816.472,Time,estimate:,4.213204871
QS1P1,Pad,P1,GFZ,Channel:,j37,Actual,Channel:,67,Trace,Length:,746.737,Time,estimate:,3.853354391
QS1P1,Pad,P1,GFZ,Channel:,j36,Actual,Channel:,68,Trace,Length:,678.352,Time,estimate:,3.500470256
QS1P2,Pad,P1,GFZ,Channel:,j24,Actual,Channel:,1,Trace,Length:,584.467,Time,estimate:,3.015999583
QS1P2,Pad,P1,GFZ,Channel:,j25,Actual,Channel:,2,Trace,Length:,406.252,Time,estimate:,2.096364487
QS1P2,Pad,P1,GFZ,Channel:,j26,Actual,Channel:,3,Trace,Length:,343.007,Time,estimate:,1.77000407
QS1P2,Pad,P1,GFZ,Channel:,j27,Actual,Channel:,4,Trace,Length:,158.837,Time,estimate:,0.819639647
QS1P2,Pad,P1,GFZ,Channel:,j28,Actual,Channel:,5,Trace,Length:,596.897,Time,estimate:,3.08014157
QS1P2,Pad,P1,GFZ,Channel:,j29,Actual,Channel:,6,Trace,Length:,413.652,Time,estimate:,2.134550384
QS1P2,Pad,P1,GFZ,Channel:,j30,Actual,Channel:,7,Trace,Length:,332.542,Time,estimate:,1.716001987
QS1P2,Pad,P1,GFZ,Channel:,j31,Actual,Channel:,8,Trace,Length:,157.877,Time,estimate:,0.814685801
QS1P2,Pad,P1,GFZ,Channel:,j32,Actual,Channel:,9,Trace,Length:,593.222,Time,estimate:,3.061177628
QS1P2,Pad,P1,GFZ,Channel:,j33,Actual,Channel:,10,Trace,Length:,423.752,Time,estimate:,2.186668974
QS1P2,Pad,P1,GFZ,Channel:,j34,Actual,Channel:,11,Trace,Length:,354.012,Time,estimate:,1.826792692
QS1P2,Pad,P1,GFZ,Channel:,j35,Actual,Channel:,12,Trace,Length:,192.577,Time,estimate:,0.993746699
QS1P2,Pad,P1,GFZ,Channel:,j36,Actual,Channel:,13,Trace,Length:,614.152,Time,estimate:,3.169181794
QS1P2,Pad,P1,GFZ,Channel:,j37,Actual,Channel:,14,Trace,Length:,451.802,Time,estimate:,2.331414166
QS1P2,Pad,P1,GFZ,Channel:,j38,Actual,Channel:,15,Trace,Length:,382.067,Time,estimate:,1.971563686
QS1P2,Pad,P1,GFZ,Channel:,j39,Actual,Channel:,16,Trace,Length:,227.272,Time,estimate:,1.172781795
QS1P2,Pad,P1,GFZ,Channel:,j40,Actual,Channel:,17,Trace,Length:,635.077,Time,estimate:,3.27716016
QS1P2,Pad,P1,GFZ,Channel:,j41,Actual,Channel:,18,Trace,Length:,479.852,Time,estimate:,2.476159359
QS1P2,Pad,P1,GFZ,Channel:,j42,Actual,Channel:,19,Trace,Length:,410.117,Time,estimate:,2.116308878
QS1P2,Pad,P1,GFZ,Channel:,j43,Actual,Channel:,20,Trace,Length:,261.972,Time,estimate:,1.351842692
QS1P2,Pad,P1,GFZ,Channel:,j44,Actual,Channel:,21,Trace,Length:,656.007,Time,estimate:,3.385164327
