Channel,Perimeter,Length,,,,
1,1859.66,907.13,,min,500.14,mm
2,1265.63,610.115,,max,907.13,mm
3,1788.82,871.71,,,,
4,1198.54,576.57,,,,
5,1725.19,839.895,,,,
6,1140.22,547.41,,,,
7,1672.13,813.365,,,,
8,1092.98,523.79,,,,
9,1632.26,793.43,,,,
10,1060.85,507.725,,,,
11,1608.34,781.47,,,,
12,1045.68,500.14,,,,
13,1602.14,778.37,,,,
14,1048.55,501.575,,,,
15,1614.05,784.325,,,,
16,1069.33,511.965,,,,
17,1641.02,797.81,,,,
18,1102.33,528.465,,,,
19,1681.27,817.935,,,,
20,1150.43,552.515,,,,
21,1734.88,844.74,,,,
22,1206.95,580.775,,,,
23,1792.63,873.615,,,,
24,1265.61,610.105,,,,
