Channel,Area,Length,,,,,,
1,720.937,1759.5,,min,143.2366667,mm,,1
2,606.435,1377.826667,,max,1759.5,mm,,0
3,456.775,878.96,,,,,,0
4,342.406,497.73,,,,,,0
5,286.052,309.8833333,,,,,,0
6,703.496,1701.363333,,,,,,1
7,592.167,1330.266667,,,,,,0
8,445.618,841.77,,,,,,0
9,334.412,471.0833333,,,,,,0
10,278.057,283.2333333,,,,,,0
11,686.055,1643.226667,,,,,,1
12,577.898,1282.703333,,,,,,0
13,434.461,804.58,,,,,,0
14,326.417,444.4333333,,,,,,0
15,270.062,256.5833333,,,,,,0
16,668.615,1585.093333,,,,,,1
17,563.629,1235.14,,,,,,0
18,423.304,767.39,,,,,,0
19,318.423,417.7866667,,,,,,0
20,262.068,229.9366667,,,,,,0
21,651.174,1526.956667,,,,,,1
22,549.36,1187.576667,,,,,,0
23,412.147,730.2,,,,,,0
24,310.428,391.1366667,,,,,,0
25,254.073,203.2866667,,,,,,0
26,633.733,1468.82,,,,,,0
27,535.091,1140.013333,,,,,,0
28,400.99,693.01,,,,,,0
29,302.433,364.4866667,,,,,,0
30,246.079,176.64,,,,,,0
31,616.292,1410.683333,,,,,,0
32,520.822,1092.45,,,,,,0
33,389.833,655.82,,,,,,0
34,294.439,337.84,,,,,,0
35,238.084,149.99,,,,,,0
36,600.794,1359.023333,,,,,,0
37,509.052,1053.216667,,,,,,0
38,381.676,628.63,,,,,,0
39,290.115,323.4266667,,,,,,0
40,236.058,143.2366667,,,,,,0
41,597.63,1348.476667,,,,,,0
42,509.052,1053.216667,,,,,,0
43,384.789,639.0066667,,,,,,0
44,296.175,343.6266667,,,,,,0
45,242.341,164.18,,,,,,0
46,594.467,1337.933333,,,,,,0
47,509.053,1053.22,,,,,,0
48,387.901,649.38,,,,,,0
49,302.458,364.57,,,,,,0
50,248.623,185.12,,,,,,0
51,591.303,1327.386667,,,,,,0
52,509.054,1053.223333,,,,,,0
53,391.014,659.7566667,,,,,,0
54,308.741,385.5133333,,,,,,0
55,254.906,206.0633333,,,,,,0
56,588.14,1316.843333,,,,,,0
57,509.055,1053.226667,,,,,,0
58,394.127,670.1333333,,,,,,0
59,315.023,406.4533333,,,,,,0
60,261.189,227.0066667,,,,,,0
61,584.977,1306.3,,,,,,0
62,509.055,1053.226667,,,,,,0
63,397.239,680.5066667,,,,,,0
64,321.306,427.3966667,,,,,,0
65,267.472,247.95,,,,,,0
66,581.813,1295.753333,,,,,,0
67,509.056,1053.23,,,,,,0
68,400.352,690.8833333,,,,,,0
69,327.589,448.34,,,,,,0
70,273.755,268.8933333,,,,,,0
71,578.65,1285.21,,,,,,0
72,509.057,1053.233333,,,,,,0
73,403.464,701.2566667,,,,,,0
74,333.872,469.2833333,,,,,,0
75,280.037,289.8333333,,,,,,0
