Channel,Perimeter,Length,,,,
1,2023.78,989.19,,min,202.025,mm
2,1501.02,727.81,,max,992.41,mm
3,955.55,455.075,,,,
4,2030.22,992.41,,,,
5,1447.19,700.895,,,,
6,866.94,410.77,,,,
7,1941.88,948.24,,,,
8,1359.15,656.875,,,,
9,779.28,366.94,,,,
10,1854.64,904.62,,,,
11,1271.77,613.185,,,,
12,691.63,323.115,,,,
13,1767,860.8,,,,
14,1183.85,569.225,,,,
15,604.41,279.505,,,,
16,1681.26,817.93,,,,
17,1101.84,528.22,,,,
18,526.98,240.79,,,,
19,1609.49,782.045,,,,
20,1037.03,495.815,,,,
21,470.64,212.62,,,,
22,1563.28,758.94,,,,
23,1002.6,478.6,,,,
24,449.45,202.025,,,,
25,1556.35,755.475,,,,
26,1010.33,482.465,,,,
27,471.51,213.055,,,,
28,1591.72,773.16,,,,
29,1056.19,505.395,,,,
30,525.63,240.115,,,,
31,1651.95,803.275,,,,
32,1121.94,538.27,,,,
33,595.8,275.2,,,,
34,1725.66,840.13,,,,
35,1198.51,576.555,,,,
36,673.4,314,,,,
37,1803.77,879.185,,,,
38,1276.7,615.65,,,,
39,752.63,353.615,,,,
40,1882.41,918.505,,,,
41,1354.57,654.585,,,,
42,829.55,392.075,,,,
43,1959.7,957.15,,,,
44,1432.95,693.775,,,,
45,909.01,431.805,,,,
