Pad adapter board channel mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,QS1P,,,,,QS1C,,,,,QS2P,,,,,QS2C,,,,,QS3P,,,,,QS3C,,,,,QL1P,,,,,QL1C,,,,,QL2P,,,,,QL2C,,,,,QL3P,,,,,QL3C,,,,
,,GFZ Connector,GFZ Channel,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,
,,,,,QS1P1,QS1P2,QS1P3,QS1P4,,QS1C4,QS1C3,QS1C2,QS1C1,,QS2P1,QS2P2,QS2P3,QS2P4,,QS2C4,QS2C3,QS2C2,QS2C1,,QS3P1,QS3P2,QS3P3,QS3P4,,QS3C4,QS3C3,QS3C2,QS3C1,,QL1P1,QL1P2,QL1P3,QL1P4,,QL1C4,QL1C3,QL1C2,QL1C1,,QL2P1,QL2P2,QL2P3,QL2P4,,QL2C4,QL2C3,QL2C2,QL2C1,,QL3P1,QL3P2,QL3P3,QL3P4,,QL3C4,QL3C3,QL3C2,QL3C1,
,,P1,i36,,,,,,,,,,,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,,22,22,22,22,
,,P1,i37,,,,,,,,,,,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,,21,21,21,21,
,,P1,i38,,,20,,,,,,20,,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,,20,20,20,20,
,,P1,i39,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,,19,19,19,19,
,,P1,i40,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,,18,18,18,18,
,,P1,i41,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,,17,17,17,17,
,,P1,i42,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,,16,16,16,16,
,,P1,i43,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,,15,15,15,15,
,,P1,i44,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,,14,14,14,14,
,,P1,i45,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,,13,13,13,13,
,,P1,i46,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,,12,12,12,12,
,,P1,i47,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,,11,11,11,11,
,,P1,i48,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,,10,10,10,10,
,,P1,i49,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,
,,P1,i50,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,,8,8,8,8,
,,P1,i51,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,,7,7,7,7,
,,P1,i52,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,,6,6,6,6,
,,P1,i53,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,
,,P1,i54,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,,4,4,4,4,
,,P1,i55,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,
,,P1,i56,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,
,,P1,i57,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
,,P1,i58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
