Channel,Perimeter,Length,,,,
1,2238.54,1096.57,,min,317.68,mm
2,1625.6,790.1,,max,1127.03,mm
3,1017.5,486.05,,,,
4,2299.46,1127.03,,,,
5,1619.24,786.92,,,,
6,941.99,448.295,,,,
7,2220.36,1087.48,,,,
8,1540.76,747.68,,,,
9,864.77,409.685,,,,
10,2144.86,1049.73,,,,
11,1468.29,711.445,,,,
12,795.69,375.145,,,,
13,2079.55,1017.075,,,,
14,1407.18,680.89,,,,
15,739.21,346.905,,,,
16,2028.19,991.395,,,,
17,1361.43,658.015,,,,
18,699.56,327.08,,,,
19,1995.09,974.845,,,,
20,1335.3,644.95,,,,
21,680.76,317.68,,,,
22,1983.9,969.25,,,,
23,1331.72,643.16,,,,
24,684.66,319.63,,,,
25,1995,974.8,,,,
26,1349.74,652.17,,,,
27,709.23,331.915,,,,
28,2025.67,990.135,,,,
29,1386.06,670.33,,,,
30,750.22,352.41,,,,
31,2070.74,1012.67,,,,
32,1434.64,694.62,,,,
33,802.28,378.44,,,,
34,2125.18,1039.89,,,,
35,1491.03,722.815,,,,
36,860.22,407.41,,,,
37,2185.06,1069.83,,,,
38,1553.08,753.84,,,,
39,924.31,439.455,,,,
